name,rating,industry,location,salary
24/7 Customer,3.4,Software Product,Bangalore / Bengaluru +36 other locations,3.2k
Hindustan Coca Cola Beverages,4.0,Beverage,Bangalore / Bengaluru +253 other locations,3.2k
Ceat Tyres,4.0,Auto Components,Nagpur +137 other locations,3.2k
DTDC Express,3.7,Logistics,New Delhi +264 other locations,3.2k
Reliance Nippon Life Insurance,3.4,Insurance,Mumbai +477 other locations,3.2k
HARMAN,3.8,Consumer Electronics & Appliances,Bangalore / Bengaluru +39 other locations,3.2k
ArcelorMittal Nippon Steel,4.1,Iron & Steel,Surat +83 other locations,3.2k
ABB,4.1,Industrial Machinery,Bangalore / Bengaluru +106 other locations,3.2k
Indian Air Force,4.6,Defence & Aerospace,New Delhi +131 other locations,3.2k
NatWest Group,4.0,Banking,Gurgaon / Gurugram +27 other locations,3.2k
PhonePe,4.0,FinTech,Bangalore / Bengaluru +368 other locations,3.2k
RSPL Group,4.1,FMCG,Kanpur +246 other locations,3.1k
UNO Minda,4.0,Auto Components,Pune +105 other locations,3.1k
Marpu Foundation,4.9,Non-Profit,Hyderabad / Secunderabad +58 other locations,3.1k
Barclays,3.7,Banking,Pune +36 other locations,3.1k
InterGlobe Aviation,3.5,Aviation,New Delhi +100 other locations,3.1k
GeBBS Healthcare Solutions,3.7,Healthcare,Mumbai +26 other locations,3.1k
Conduent,3.4,BPO,Bangalore / Bengaluru +34 other locations,3.1k
AGS Health,4.0,IT Services & Consulting,Chennai +59 other locations,3.1k
Tata Technologies,3.4,Engineering & Construction,Pune +53 other locations,3.1k
Alstom Transportation,3.7,Engineering & Construction,Bangalore / Bengaluru +75 other locations,3.1k
Future Group,4.2,Retail,Mumbai +205 other locations,3k
Tata AIG,4.0,Insurance,Mumbai +254 other locations,3k
TVS Credit Services Ltd,4.2,NBFC,Chennai +413 other locations,3k
Cloudnine Hospital,4.4,Healthcare,Bangalore / Bengaluru +44 other locations,3k
Max Healthcare,3.9,Healthcare,New Delhi +76 other locations,3k
UPL,4.1,Agro Chemicals,Ankleshwar +183 other locations,3k
Dilip Buildcon,3.9,Engineering & Construction,Bhopal +222 other locations,3k
Croma,3.8,Retail,Mumbai +184 other locations,3k
Amazon Transportation Services,4.2,Hyderabad / Secunderabad +220 other locations,,3k
Walmart,3.5,Retail,Bangalore / Bengaluru +91 other locations,3k
PepsiCo,4.0,Food Processing,Hyderabad / Secunderabad +268 other locations,3k
Titan Company,4.2,Retail,Bangalore / Bengaluru +177 other locations,3k
Bajaj General Insurance Limited,3.8,Insurance,Pune +269 other locations,3k
S&P Global,4.0,Analytics & KPO,Hyderabad / Secunderabad +46 other locations,3k
Varroc Group,3.6,Auto Components,Pune +60 other locations,2.9k
Blinkit,3.7,Internet,Gurgaon / Gurugram +132 other locations,2.9k
Mankind Pharma,3.8,Pharma,New Delhi +237 other locations,2.9k
CMS IT Services,3.0,IT Services & Consulting,Mumbai +152 other locations,2.9k
Societe Generale Global Solution Centre,3.7,IT Services & Consulting,Bangalore / Bengaluru +24 other locations,2.9k
MSN Laboratories,3.6,Pharma,Hyderabad / Secunderabad +99 other locations,2.9k
Afcons Infrastructure,4.2,Engineering & Construction,Mumbai +118 other locations,2.9k
Torrent Pharmaceuticals,4.0,Pharma,Ahmedabad +124 other locations,2.9k
Square Yards,3.7,Internet,Gurgaon / Gurugram +49 other locations,2.9k
Jindal Stainless,4.2,Iron & Steel,Jajpur +74 other locations,2.8k
Quest Global,3.5,IT Services & Consulting,Bangalore / Bengaluru +45 other locations,2.8k
Zensar Technologies,3.7,IT Services & Consulting,Pune +29 other locations,2.8k
I Process Services,3.9,Recruitment,Mumbai +399 other locations,2.8k
HDFC Sales,3.9,Financial Services,Mumbai +334 other locations,2.8k
ACC,3.9,Building Material,Mumbai +260 other locations,2.8k
Shoppers Stop,4.0,Retail,Mumbai +83 other locations,2.8k
Nokia,4.0,Telecom,Bangalore / Bengaluru +165 other locations,2.8k
IDFC FIRST Bharat,4.2,Financial Services,Chennai +396 other locations,2.8k
Fujitsu,3.8,IT Services & Consulting,Pune +39 other locations,2.8k
UnitedHealth,4.0,Healthcare,Hyderabad / Secunderabad +17 other locations,2.8k
Apollo Tyres,4.0,Auto Components,Chennai +176 other locations,2.8k
Suzlon Group,4.0,Power,Pune +134 other locations,2.7k
DS Group,4.1,FMCG,Noida +273 other locations,2.7k
Eternal Limited,3.6,Internet,Gurgaon / Gurugram +215 other locations,2.7k
Fiserv,2.8,FinTech,Pune +32 other locations,2.7k
Tata Elxsi,3.6,IT Services & Consulting,Bangalore / Bengaluru +30 other locations,2.7k
Whitehat jr,3.3,EdTech,Mumbai +49 other locations,2.7k
ESAF Small Finance Bank,3.6,Banking,Thrissur +426 other locations,2.7k
Indus Towers,3.6,Hardware & Networking,Gurgaon / Gurugram +225 other locations,2.7k
IKS Health,3.5,Healthcare,Mumbai +30 other locations,2.7k
Yazaki,3.9,Auto Components,Pune +90 other locations,2.7k
VVDN Technologies,3.6,IT Services & Consulting,Gurgaon / Gurugram +49 other locations,2.7k
Landmark Group,3.9,Retail,Bangalore / Bengaluru +165 other locations,2.6k
Shree Cement,3.8,Building Material,Beawar +244 other locations,2.6k
Britannia,4.0,FMCG,Pune +291 other locations,2.6k
Flex,3.9,Electronics Manufacturing,Chennai +46 other locations,2.6k
Capita,3.5,IT Services & Consulting,Pune +32 other locations,2.6k
Blue Dart Express Ltd,3.9,Logistics,Mumbai +272 other locations,2.6k
SRF,4.1,Chemicals,Bharuch +66 other locations,2.6k
Ola Electric Mobility,3.3,Automobile,Bangalore / Bengaluru +386 other locations,2.6k
Shell,3.9,Oil & Gas,Bangalore / Bengaluru +90 other locations,2.6k
ElasticRun,3.6,Logistics,Pune +386 other locations,2.6k
Exide Industries,3.4,Auto Components,Kolkata +198 other locations,2.6k
Micro Labs,3.6,Pharma,Bangalore / Bengaluru +147 other locations,2.6k
Sagility,3.9,BPO,Bangalore / Bengaluru +26 other locations,2.6k
Kansai Nerolac Paints,3.8,Chemicals,Mumbai +241 other locations,2.6k
KPMG Global Services,3.5,Management Consulting,Bangalore / Bengaluru +37 other locations,2.5k
Bharat Financial Inclusion,3.7,NBFC,Hyderabad / Secunderabad +469 other locations,2.5k
Dalmia Bharat Cement,3.9,Building Material,Guwahati +246 other locations,2.5k
Sahrudaya Healthcare (Medicover Hospitals),4.5,Healthcare,Hyderabad / Secunderabad +45 other locations,2.5k
TVS Supply Chain Solutions,3.8,Logistics,Chennai +149 other locations,2.5k
G4S,4.0,Law Enforcement & Security,Gurgaon / Gurugram +158 other locations,2.5k
Nestle,3.8,FMCG,Gurgaon / Gurugram +266 other locations,2.5k
KFintech,3.4,FinTech,Hyderabad / Secunderabad +112 other locations,2.5k
BlackBuck,3.7,Internet,Bangalore / Bengaluru +357 other locations,2.5k
Voltas,4.0,Consumer Electronics & Appliances,Mumbai +196 other locations,2.5k
GATI-KWE,3.9,Logistics,Hyderabad / Secunderabad +161 other locations,2.5k
ZS,3.2,Management Consulting,Pune +16 other locations,2.5k
Domino's Pizza,3.9,New Delhi +241 other locations,,2.5k
Sonalika Tractors,3.6,Automobile,Hoshiarpur +186 other locations,2.5k
Bajaj Electricals,3.9,Consumer Electronics & Appliances,Mumbai +228 other locations,2.5k
Ajanta Pharma,3.9,Pharma,Mumbai +117 other locations,2.5k
ACT Fibernet,3.9,Hardware & Networking,Hyderabad / Secunderabad +54 other locations,2.5k
Star Health & Allied Insurance,3.5,Insurance,Chennai +317 other locations,2.5k
Sterlite Technologies,3.8,Hardware & Networking,Aurangabad +100 other locations,2.5k
Sammaan Capital Limited,3.8,NBFC,Gurgaon / Gurugram +199 other locations,2.4k
Blue Star,4.1,Consumer Electronics & Appliances,Mumbai +145 other locations,2.4k
suzuki motor gujarat,4.2,Automobile,Ahmedabad +115 other locations,2.4k
Care Health Insurance,3.6,Internet,Gurgaon / Gurugram +239 other locations,2.4k
Fortis Healthcare,4.0,Healthcare,New Delhi +68 other locations,2.4k
Statestreet HCL Services,3.4,BPO,Chennai +17 other locations,2.4k
NoBroker,3.0,Real Estate,Bangalore / Bengaluru +49 other locations,2.4k
Movate,3.2,IT Services & Consulting,Chennai +37 other locations,2.4k
Alldigi Tech,3.9,BPO,Chennai +35 other locations,2.4k
Paras Hospital,4.1,Healthcare,Patna +61 other locations,2.4k
DBS Bank,3.8,Banking,Hyderabad / Secunderabad +169 other locations,2.4k
Tractors and Farm Equipment,3.9,Industrial Machinery,Chennai +188 other locations,2.4k
Foundever,3.5,BPO,Hyderabad / Secunderabad +23 other locations,2.4k
Himalaya Wellness,4.1,Pharma,Bangalore / Bengaluru +228 other locations,2.4k
Patanjali Ayurved,3.9,FMCG,Haridwar +299 other locations,2.4k
Gallagher,3.7,Insurance,Bangalore / Bengaluru +28 other locations,2.4k
V-Mart,4.1,Retail,Gurgaon / Gurugram +279 other locations,2.4k
Adani Power,3.8,Power,Mundra +120 other locations,2.4k
BT Group,3.8,Telecom,Gurgaon / Gurugram +23 other locations,2.4k
McDonald's,3.9,Hospitality,New Delhi +144 other locations,2.4k
Parle Agro,3.9,Beverage,Mumbai +249 other locations,2.4k
Exl India,3.5,Logistics,New Delhi +43 other locations,2.3k
JCB,3.9,Pune +110 other locations,,2.3k
Axis Direct,3.7,Financial Services,Mumbai +267 other locations,2.3k
IntouchCX,2.7,BPO,Hyderabad / Secunderabad +21 other locations,2.3k
ICICI Securities,3.9,Financial Services,Mumbai +144 other locations,2.3k
Zepto,3.6,Internet,Bangalore / Bengaluru +93 other locations,2.3k
